time(seconds),# repressory proteins,# Q proteins,# Qc proteins
0,1.999992499,1.18E+01,1.18E+01
30,2.634887845,11.76379794,11.76379794
60,5.170142043,11.75965532,11.75965532
90,11.84351862,11.75919366,11.75919366
120,25.83197968,11.75964144,11.8140164
150,47.72170958,11.72989711,13.13686764
180,75.1847633,11.6081157,18.38147168
210,98.55657114,11.35993676,28.60155215
240,101.19142,10.93478174,43.68685322
270,102.5174079,10.33650461,62.17129252
300,100.4939342,9.612611131,80.28845382
330,97.13187544,8.874817629,92.24096656
360,93.63084282,8.168771079,97.29777245
390,89.99858971,7.505979651,98.91172162
420,81.73827005,6.888399673,99.48830639
450,74.53446992,6.314985583,99.71270202
480,69.2257563,5.783691688,99.80517329
510,64.43063588,5.292157979,99.84486741
540,59.94238108,4.837967079,99.86233942
570,55.7880682,4.41874622,99.87017098
600,52.02370629,4.032208614,99.87386647
630,48.39157747,3.676169767,99.87568268
660,45.10174228,3.348552991,99.87665193
690,42.02810335,3.04739009,99.87724632
720,39.12507262,2.770819829,99.87765447
750,36.43080276,2.517085315,99.87805802
780,34.00439421,2.284530835,99.87837142
810,31.6156959,2.071598391,99.87858246
840,29.39374019,1.876824076,99.87890001
870,27.30337324,1.698834338,99.87919892
900,25.36431849,1.536342207,99.87947053
930,23.63273793,1.388143491,99.87981103
960,21.95774872,1.253112983,99.88000439
990,20.45671739,1.13020069,99.8803532
1020,19.08656988,1.01842811,99.88059729
1050,17.73285582,0.9168845607,99.88084391
1080,16.47988936,0.8247235851,99.88116102
1110,15.29622434,0.7411594375,99.88140894
1140,14.22379221,0.6654636629,99.88171762
1170,13.22812317,0.5969617773,99.88198852
1200,12.29786549,0.5350300556,99.88228318
1230,11.43265098,0.4790924329,99.88261292
1260,10.64861524,0.4286175221,99.88286154
1290,9.920525787,0.3831157531,99.88312828
1320,9.237965304,0.3421366338,99.88342742
1350,8.586826071,0.3052661343,99.88362879
1380,7.996675047,0.2721241949,99.88396562
1410,7.442853274,0.2423623583,99.88428173
1440,6.91836162,0.2156615217,99.88448251
1470,6.432961996,0.1917298113,99.88475725
1500,5.971846466,0.170300573,99.8850332
1530,5.555937107,0.1511304791,99.885372
1560,5.165617269,0.1339977469,99.88563579
1590,4.804229727,0.1187004649,99.88591849
1620,4.465045107,0.1050550255,99.88625733
1650,4.153728697,0.09289465677,99.88639007
1680,3.871177316,0.08206805227,99.88675375
1710,3.592982387,0.07243809314,99.8870068
1740,3.329412257,0.06388065851,99.88727576
1770,3.097726381,0.05628352021,99.88759811
1800,2.873983185,0.04954531728,99.88786453
1830,2.669117848,0.04357460613,99.88819226
1860,2.478920329,0.03828898221,99.88841128
1890,2.305409613,0.03361426895,99.88875675
1920,2.14814528,0.02948377012,99.88905716
1950,1.993587405,0.02583758157,99.88926901
1980,1.853528755,0.02262195866,99.88957777
2010,1.720972671,0.0197887357,99.88981109
2040,1.603502501,0.01729479399,99.89014612
2070,1.488476192,0.01510157488,99.89042605
2100,1.380831027,0.01317463495,99.89073172
2130,1.280633899,0.01148324008,99.89100401
2160,1.189989774,0.009999995487,99.89121031
2190,1.105067501,0.008700509172,99.8914495
2220,1.026210268,0.007563086043,99.89165385
2250,0.9539612459,0.006568450345,99.89209336
2280,0.8873773105,0.00569949412,99.89229763
2310,0.8252576793,0.004941049544,99.89263177
2340,0.768618652,0.004279683161,99.89293894
2370,0.7145917185,0.003703510149,99.89319905
2400,0.6647378312,0.003202026878,99.893433
2430,0.620926456,0.002765960162,99.89373484
2460,0.5782060707,0.002387131717,99.89414443
2490,0.5389213028,0.002058336434,99.89426642
2520,0.5029115508,0.00177323321,99.89461861
2550,0.4697015555,0.001526247161,99.89479757
2580,0.4371413706,0.001312482135,99.8952067
2610,0.4072077452,0.001127642542,99.89544757
2640,0.3800102801,9.68E-04,99.89572624
2670,0.3543332124,8.30E-04,99.8960059
2700,0.3305164142,7.11E-04,99.8962373
2730,0.3094899916,6.09E-04,99.89651512
2760,0.289169323,5.21E-04,99.89678784
2790,0.2699085222,4.45E-04,99.89720251
2820,0.2516561059,3.80E-04,99.89736239
2850,0.235118889,3.24E-04,99.89766585
2880,0.2192168621,2.76E-04,99.89793648
2910,0.2040900029,2.35E-04,99.89827515
2940,0.1907123506,2.00E-04,99.8985015
2970,0.1779784763,1.70E-04,99.89878081
3000,0.1660670823,1.44E-04,99.89910034